Column1	Artwork-Id	type	district	environment	countArtists	experience	replaced	content	userRating	approval
0	32048698	painting	Treptow-Kopenick	main street	2	first time	nothing	animals or plants	4	1
1	39800694	painting	Treptow-Kopenick	park	3	beginner	poster	political	2	0
2	80318972	graffiti	Treptow-Kopenick	public spot	3	beginner	stickers and tags	scenery	4	0
3	74478002	graffiti	Treptow-Kopenick	main street	4	first time	recent graffiti	cartoon or comical	4	0
4	71449602	painting	Steglitz-Zehlendorf	side street	3	beginner	poster	cartoon or comical		0
5	19676513	painting	Lichtenberg	side street	2	first time	stickers and tags	animals or plants	3	1
6	90793891	graffiti	Neukolln	side street	1	professional	weathered graffiti	conceptual	4	1
7	68698092	graffiti	Steglitz-Zehlendorf	main street	2	beginner	weathered painting	political	4	0
8	56310154	painting	Charlottenburg-Wilmersdorf	main street	2	first time	recent graffiti	scenery	2	1
9	13371124	painting	Pankow	park	4	beginner	stickers and tags	political	3	1
10	50898390	graffiti	Friedrichshain-Kreuzberg	park	1	first time	recent graffiti	animals or plants	1	0
11	78377253	painting	Lichtenberg	park	5	first time	nothing	animals or plants	3	1
12	10747023	painting	Neukolln	main street	2	first time	recent painting	animals or plants	4	0
13	65671013	graffiti	Treptow-Kopenick	side street	1	advanced	poster	cartoon or comical	2	0
14	79129701	graffiti	Spandau	side street	1	beginner	weathered graffiti	scenery	4	1
15	56907997	painting	Mitte	side street	1	first time	stickers and tags	animals or plants	4	1
16	54704311	painting	Pankow	main street	1	beginner	weathered painting	people	2	0
17	71002051	painting	Spandau	public spot	1	beginner	weathered graffiti	conceptual	5	1
18	26839663	painting	Treptow-Kopenick	public spot	4	advanced	stickers and tags	political	5	1
19	66032768	graffiti	Spandau	public spot	2	advanced	recent graffiti	animals or plants	1	0
20	59508470	painting	Mitte	public spot	2	beginner	poster	scenery	3	0
21	95121314	painting	Charlottenburg-Wilmersdorf	main street	2	first time	weathered painting	animals or plants	3	1
22	50217392	graffiti	Marzahn-Hellersdorf	main street	2	professional	weathered graffiti	conceptual	4	1
23	94922999	painting	Mitte	park	1	professional	poster	animals or plants	2	0
24	53276423	poster	Friedrichshain-Kreuzberg	main street	2	first time	nothing	political	3	0
25	36316165	painting	Friedrichshain-Kreuzberg	side street	1	first time	nothing	cartoon or comical	2	1
26	96502597	poster	Lichtenberg	playground	3	professional	weathered graffiti	animals or plants	3	1
27	34004006	poster	Treptow-Kopenick	main street	3	advanced	weathered graffiti	people	5	1
28	44923389	painting	Steglitz-Zehlendorf	side street	2	beginner	weathered painting	cartoon or comical		0
29	12662290	painting	Steglitz-Zehlendorf	side street	4	beginner	weathered graffiti	animals or plants	4	1
30	93553285	poster	Tempelhof-Schoneberg	side street	1	beginner	stickers and tags	political	4	0
31	44163421	painting	Mitte	main street	4	beginner	poster	scenery	5	1
32	27897792	painting	Charlottenburg-Wilmersdorf	main street	5	first time	weathered painting	people	3	1
33	58593968	graffiti	Mitte	side street	4	professional	recent graffiti	conceptual	5	1
34	73364947	graffiti	Neukolln	playground	1	beginner	text	political	3	0
35	28343947	text	Mitte	main street	2	advanced	weathered painting	scenery	5	1
36	84925548	text	Reinickendorf	side street	2	beginner	stickers and tags	cartoon or comical	5	1
37	42754985	painting	Neukolln	main street	5	first time	nothing	people	5	1
38	91078541	graffiti	Marzahn-Hellersdorf	main street	3	first time	stickers and tags	scenery	2	0
39	80055331	stencil	Marzahn-Hellersdorf	side street	1	beginner	text	scenery	2	0
40	81410802	painting	Reinickendorf	public spot	2	advanced	poster	conceptual	4	1
41	42627225	graffiti	Charlottenburg-Wilmersdorf	main street	3	advanced	stickers and tags	people	3	0
42	67819749	painting	Mitte	public spot	3	advanced	recent graffiti	cartoon or comical	3	1
43	72676548	painting	Friedrichshain-Kreuzberg	main street	4	advanced	text	animals or plants	4	1
44	30242902	painting	Tempelhof-Schoneberg	side street	2	professional	recent graffiti	cartoon or comical	4	1
45	63897153	painting	Mitte	side street	2	professional	nothing	political		1
46	28271138	painting	Tempelhof-Schoneberg	park	3	advanced	text	animals or plants	5	1
47	11682849	graffiti	Neukolln	side street	2	beginner	weathered graffiti	conceptual	4	1
48	52657097	graffiti	Lichtenberg	main street	2	beginner	poster	animals or plants	4	1
49	28900264	text	Spandau	public spot	1	advanced	weathered graffiti	people	4	1
50	91518332	graffiti	Friedrichshain-Kreuzberg	park	2	beginner	text	scenery	4	1
51	68295127	poster	Marzahn-Hellersdorf	main street	3	first time	recent graffiti	animals or plants	2	0
52	38425036	painting	Pankow	side street	5	first time	weathered graffiti	conceptual	3	1
53	16814102	painting	Marzahn-Hellersdorf	main street	5	first time	poster	people	3	1
54	41628724	graffiti	Neukolln	park	2	advanced	stickers and tags	conceptual		1
55	15911095	painting	Steglitz-Zehlendorf	playground	5	first time	weathered graffiti	scenery	3	1
56	25992096	graffiti	Spandau	main street	3	first time	stickers and tags	cartoon or comical	2	0
57	58762103	painting	Reinickendorf	public spot	2	beginner	weathered graffiti	political	5	1
58	69570056	poster	Treptow-Kopenick	side street	3	beginner	recent painting	conceptual	1	0
59	54862649	graffiti	Spandau	main street	1	beginner	poster	political	1	0
60	40988727	painting	Spandau	park	2	first time	weathered graffiti	conceptual	1	0
61	52115770	graffiti	Reinickendorf	side street	1	advanced	recent painting	political	5	0
62	83187483	graffiti	Lichtenberg	main street	4	first time	weathered graffiti	scenery	2	0
63	93974507	painting	Neukolln	main street	3	advanced	recent painting	political	4	0
64	44212685	painting	Tempelhof-Schoneberg	main street	4	first time	nothing	cartoon or comical	5	1
65	45011143	poster	Reinickendorf	park	3	beginner	nothing	cartoon or comical	3	1
66	15144179	painting	Steglitz-Zehlendorf	park	2	beginner	nothing	animals or plants	1	0
67	93412916	painting	Reinickendorf	main street	2	beginner	stickers and tags	scenery	4	1
68	27645290	text	Friedrichshain-Kreuzberg	playground	2	first time	weathered graffiti	people		1
69	52639699	painting	Spandau	playground	4	advanced	weathered graffiti	conceptual	2	1
70	27293584	painting	Tempelhof-Schoneberg	side street	2	advanced	weathered graffiti	people	1	1
71	23853647	painting	Steglitz-Zehlendorf	side street	2	first time	poster	political	3	0
72	80518860	painting	Treptow-Kopenick	side street	2	advanced	poster	scenery	4	1
73	81266457	painting	Tempelhof-Schoneberg	public spot	4	beginner	recent graffiti	people	3	1
74	89930310	graffiti	Spandau	public spot	3	beginner	poster	people	2	0
