	Artwork-Id	type	district	environment	countArtists	experience	replaced	content	userRating	approval
0	32048698	5	3	3	2	1	7	2	4	1
1	39800694	5	3	3	3	2	4	1	2	0
2	80318972	4	3	2	3	2	8	2	4	0
3	74478002	4	3	3	4	1	3	2	4	0
4	71449602	5	2	4	3	2	4	2	0	0
5	19676513	5	4	4	2	1	8	2	3	1
6	90793891	4	5	4	1	4	6	2	4	1
7	68698092	4	2	3	2	2	2	1	4	0
8	56310154	5	1	3	2	1	3	2	2	1
9	13371124	5	3	3	4	2	8	1	3	1
10	50898390	4	5	3	1	1	3	2	1	0
11	78377253	5	4	3	5	1	7	2	3	1
12	10747023	5	5	3	2	1	1	2	4	0
13	65671013	4	3	4	1	3	4	2	2	0
14	79129701	4	2	4	1	2	6	2	4	1
15	56907997	5	1	4	1	1	8	2	4	1
16	54704311	5	3	3	1	2	2	2	2	0
17	71002051	5	2	2	1	2	6	2	5	1
18	26839663	5	3	2	4	3	8	1	5	1
19	66032768	4	2	2	2	3	3	2	1	0
20	59508470	5	1	2	2	2	4	2	3	0
21	95121314	5	1	3	2	1	2	2	3	1
22	50217392	4	4	3	2	4	6	2	4	1
23	94922999	5	1	3	1	4	4	2	2	0
24	53276423	3	5	3	2	1	7	1	3	0
25	36316165	5	5	4	1	1	7	2	2	1
26	96502597	3	4	1	3	4	6	2	3	1
27	34004006	3	3	3	3	3	6	2	5	1
28	44923389	5	2	4	2	2	2	2	0	0
29	12662290	5	2	4	4	2	6	2	4	1
30	93553285	3	4	4	1	2	8	1	4	0
31	44163421	5	1	3	4	2	4	2	5	1
32	27897792	5	1	3	5	1	2	2	3	1
33	58593968	4	1	4	4	4	3	2	5	1
34	73364947	4	5	1	1	2	5	1	3	0
35	28343947	2	1	3	2	3	2	2	5	1
36	84925548	2	3	4	2	2	8	2	5	1
37	42754985	5	5	3	5	1	7	2	5	1
38	91078541	4	4	3	3	1	8	2	2	0
39	80055331	1	4	4	1	2	5	2	2	0
40	81410802	5	3	2	2	3	4	2	4	1
41	42627225	4	1	3	3	3	8	2	3	0
42	67819749	5	1	2	3	3	3	2	3	1
43	72676548	5	5	3	4	3	5	2	4	1
44	30242902	5	4	4	2	4	3	2	4	1
45	63897153	5	1	4	2	4	7	1	0	1
46	28271138	5	4	3	3	3	5	2	5	1
47	11682849	4	5	4	2	2	6	2	4	1
48	52657097	4	4	3	2	2	4	2	4	1
49	28900264	2	2	2	1	3	6	2	4	1
50	91518332	4	5	3	2	2	5	2	4	1
51	68295127	3	4	3	3	1	3	2	2	0
52	38425036	5	3	4	5	1	6	2	3	1
53	16814102	5	4	3	5	1	4	2	3	1
54	41628724	4	5	3	2	3	8	2	0	1
55	15911095	5	2	1	5	1	6	2	3	1
56	25992096	4	2	3	3	1	8	2	2	0
57	58762103	5	3	2	2	2	6	1	5	1
58	69570056	3	3	4	3	2	1	2	1	0
59	54862649	4	2	3	1	2	4	1	1	0
60	40988727	5	2	3	2	1	6	2	1	0
61	52115770	4	3	4	1	3	1	1	5	0
62	83187483	4	4	3	4	1	6	2	2	0
63	93974507	5	5	3	3	3	1	1	4	0
64	44212685	5	4	3	4	1	7	2	5	1
65	45011143	3	3	3	3	2	7	2	3	1
66	15144179	5	2	3	2	2	7	2	1	0
67	93412916	5	3	3	2	2	8	2	4	1
68	27645290	2	5	1	2	1	6	2	0	1
69	52639699	5	2	1	4	3	6	2	2	1
70	27293584	5	4	4	2	3	6	2	1	1
71	23853647	5	2	4	2	1	4	1	3	0
72	80518860	5	3	4	2	3	4	2	4	1
73	81266457	5	4	2	4	2	3	2	3	1
74	89930310	4	2	2	3	2	4	2	2	0
75	48691643	3	2	3	3	1	6	2	3	1
76	98563482	4	4	4	2	1	4	1	4	1
77	60484755	3	4	4	2	3	8	2	5	1
78	32181203	3	4	4	1	3	7	2	4	1
79	51620941	4	5	3	2	4	2	2	5	1
80	67366587	5	5	3	1	3	6	2	2	1
81	26503288	5	4	3	2	2	6	2	0	1
82	42923234	5	1	4	1	1	6	2	3	1
83	25174809	4	4	2	4	2	7	2	0	0
84	10967766	3	5	3	1	3	7	2	0	1
85	21590245	4	5	3	4	2	6	2	3	1
86	39768232	4	5	3	4	3	6	2	5	1
87	66607534	4	1	2	2	1	1	2	3	0
88	12009657	4	5	3	4	2	4	2	4	1
89	79818678	5	3	4	3	2	6	2	0	1
90	18397016	4	2	4	3	4	6	2	4	1
91	43225021	4	3	3	3	2	8	1	2	0
92	32034013	1	4	2	2	1	6	1	0	0
93	58510078	5	2	3	4	3	2	2	3	1
94	45413650	5	1	1	1	3	2	1	4	0
95	38227169	5	4	4	2	1	8	2	2	1
96	26569920	5	2	4	3	2	7	2	3	1
97	36064137	4	1	3	3	2	1	1	5	0
98	16228836	4	3	4	4	2	6	2	4	1
99	13541288	5	4	3	4	2	3	2	5	1
100	64497279	4	2	3	3	3	4	2	4	1
101	88593018	5	3	4	2	2	6	2	4	1
102	78888052	4	2	3	5	3	6	2	4	1
103	32862167	5	3	4	2	2	7	1	4	1
104	52033889	1	3	4	2	2	3	2	3	0
105	13719187	5	2	3	4	3	2	2	4	1
106	14959116	5	3	3	3	4	3	2	4	1
107	87258293	4	1	4	1	2	3	2	2	0
108	92722676	5	4	4	2	2	4	1	0	0
109	91966865	5	1	3	3	1	8	1	3	0
110	39553195	5	4	2	3	2	7	2	4	1
111	37075390	5	4	3	3	2	8	2	4	1
112	52702272	5	4	2	1	2	4	1	3	0
113	36517246	4	3	4	2	2	2	2	4	0
114	61914942	4	4	4	1	3	2	2	0	0
115	53467109	5	3	3	1	3	8	2	2	1
116	11383328	5	3	3	4	3	6	2	0	1
117	85262608	5	3	2	2	3	8	2	0	1
118	79399720	2	4	3	3	1	6	2	2	0
119	70292679	5	3	4	3	1	1	2	3	0
120	55314224	4	2	3	2	2	2	2	3	0
121	59546279	5	3	4	4	2	3	2	5	1
122	74010772	5	4	3	1	3	4	2	2	0
123	40330552	4	1	3	2	2	8	2	1	0
124	19205002	4	2	4	4	1	3	2	3	0
125	20741676	5	1	3	1	2	1	2	3	0
126	14911034	5	4	3	4	2	4	2	0	0
127	66493776	5	1	3	4	2	8	2	3	1
128	78059713	3	1	2	2	3	8	2	1	0
129	14766441	5	3	1	3	1	7	1	0	0
130	32745198	5	2	2	2	1	3	2	4	1
131	71158136	4	3	1	2	2	8	2	4	1
132	57201840	4	2	2	2	3	3	2	5	1
133	39661503	4	5	3	3	3	8	2	3	1
134	39690421	5	4	3	1	2	6	2	2	1
135	14217691	5	1	4	1	1	6	1	2	0
136	39261073	4	2	3	2	1	3	2	1	0
137	41394909	5	1	3	2	1	2	2	3	1
138	33632243	3	3	2	3	3	3	2	5	1
139	61625756	5	3	2	1	1	6	1	5	1
140	22917952	4	4	3	4	2	2	2	5	1
141	13712110	5	5	2	2	1	4	2	1	0
142	77024207	5	5	3	2	2	4	2	4	1
143	61359563	4	5	3	2	3	6	2	5	1
144	22441701	5	2	3	2	4	6	2	5	1
145	57551633	4	3	4	2	2	5	1	3	0
146	95279327	4	2	3	1	1	3	2	5	1
147	27996024	5	2	4	2	3	7	2	1	1
148	97536686	4	2	4	1	1	6	2	0	0
149	20822971	5	3	1	3	2	8	1	3	0
150	64270954	5	1	4	2	1	4	2	4	1
151	47930984	5	3	3	4	1	2	2	2	0
152	98009137	5	3	4	2	2	6	2	3	1
153	38685474	4	4	3	4	4	3	1	0	1
154	90708884	4	2	3	4	3	4	2	2	0
155	70001339	4	4	1	1	3	6	2	0	0
156	25627035	5	4	3	3	1	7	2	1	0
157	16897318	4	3	4	3	3	8	2	4	1
158	18357394	4	4	4	2	2	8	2	0	0
159	22798254	5	2	3	4	1	7	2	3	1
160	22515055	4	5	4	1	4	4	2	4	1
161	27889895	4	3	2	3	4	7	2	4	1
162	71151505	5	1	2	3	1	6	1	3	0
163	42040026	5	2	4	4	3	3	1	2	0
164	38866058	5	5	2	2	2	4	2	1	0
165	74763972	3	4	3	1	1	2	2	3	0
166	82903806	2	3	4	1	2	7	2	2	0
167	24665907	4	5	2	1	1	7	2	3	1
168	44950734	5	2	2	2	3	5	2	5	1
169	10880906	5	3	3	4	2	6	2	3	1
170	60635419	4	3	4	4	3	7	2	2	1
171	38099060	4	4	3	4	1	3	2	1	0
172	66883595	5	3	2	2	1	4	1	4	1
173	60836224	5	3	4	2	2	8	2	3	1
174	69458480	3	5	4	4	2	1	2	1	0
175	15401717	5	4	3	2	3	7	2	3	1
176	95101874	5	3	4	2	3	2	2	0	1
177	34869285	5	3	4	3	1	3	2	1	0
178	28424580	5	1	3	3	3	8	2	4	1
179	92815161	5	1	3	1	1	8	2	3	1
180	70384260	5	4	4	2	4	8	2	4	1
181	37817835	5	4	2	3	1	8	2	3	1
182	47701566	1	3	4	2	2	6	2	3	1
183	52760741	5	3	4	3	3	2	1	4	1
184	32475480	3	4	2	4	2	6	2	2	1
185	91870368	5	1	3	1	3	5	2	5	1
186	68248155	5	2	3	1	3	2	2	4	1
187	77743201	4	3	4	3	3	8	2	2	1
